State,Year,Lint Yield (Pounds/Harvested Acre),average_rain_fall_mm_per_year,pesticides_tonnes
Azerbaijan,2010,45551,447,333.85
Azerbaijan,2011,45460,447,461.84
Azerbaijan,2012,51029,447,516.35
Azerbaijan,2013,53903,447,489.8
Bahamas,1992,16667,1292,484.59
Bahamas,1993,16000,1292,484.59
Bahamas,1994,17931,1292,484.59
Bahamas,1995,17931,1292,484.59
Bahamas,1996,17931,1292,484.59
Bahamas,1997,17400,1292,484.59
Bahamas,1998,19842,1292,484.59
Bahamas,1999,21657,1292,484.59
Bahamas,2000,24762,1292,484.59
Bahamas,2001,30000,1292,375.89
Bahamas,2002,30500,1292,384.23
Bahamas,2004,35500,1292,269.66
Bahamas,2005,36000,1292,315.74
Bahamas,2006,38000,1292,268.2
Bahamas,2007,40000,1292,268.2
Bahamas,2008,47619,1292,268.2
Bahamas,2009,60000,1292,268.2
Bahamas,2010,75333,1292,268.2
Bahamas,2011,73085,1292,268.2
Bahamas,2012,73404,1292,268.2
Bahamas,2013,74465,1292,268.2
Bangladesh,1990,10015,2666,1266
Bangladesh,1990,10015,2666,1266
Bangladesh,1991,9781,2666,1287
Bangladesh,1991,9781,2666,1287
Bangladesh,1992,9319,2666,1453
Bangladesh,1992,9319,2666,1453
Bangladesh,1993,9351,2666,1487
Bangladesh,1993,9351,2666,1487
Bangladesh,1994,9042,2666,1594.5
Bangladesh,1994,9042,2666,1594.5
Bangladesh,1995,10700,2666,1702
Bangladesh,1995,10700,2666,1702
Bangladesh,1996,10166,2666,1919
Bangladesh,1996,10166,2666,1919
Bangladesh,1997,10914,2666,2035
Bangladesh,1997,10914,2666,2035
Bangladesh,1998,7339,2666,2068
Bangladesh,1998,7339,2666,2068
Bangladesh,1999,12346,2666,2532
Bangladesh,1999,12346,2666,2532
Bangladesh,2000,20597,2666,3170
Bangladesh,2000,20597,2666,3170
Bangladesh,2001,32216,2666,3295.78
Bangladesh,2001,32216,2666,3295.78
Bangladesh,2002,40349,2666,2954.29
Bangladesh,2002,40349,2666,2954.29
Bangladesh,2004,48243,2666,5587.81
Bangladesh,2004,48243,2666,5587.81
Bangladesh,2005,53311,2666,7605.01
Bangladesh,2005,53311,2666,7605.01
Bangladesh,2006,52998,2666,9074.43
Bangladesh,2006,52998,2666,9074.43
Bangladesh,2007,59812,2666,10962.31
Bangladesh,2007,59812,2666,10962.31
Bangladesh,2008,60172,2666,12936.5
Bangladesh,2008,60172,2666,12936.5
Bangladesh,2009,56831,2666,13790.09
Bangladesh,2009,56831,2666,13790.09
Bangladesh,2010,58378,2666,13283.72
Bangladesh,2010,58378,2666,13283.72
Bangladesh,2011,61512,2666,14798.28
Bangladesh,2011,61512,2666,14798.28
Bangladesh,2012,65838,2666,13289.18
Bangladesh,2012,65838,2666,13289.18
Bangladesh,2013,65953,2666,15330.16
Bangladesh,2013,65953,2666,15330.16
Belarus,1992,30000,618,8306.31
Belarus,1993,12000,618,8306.31
Belarus,1994,5000,618,8306.31
Belarus,1995,24545,618,8306.31
Belarus,1996,23000,618,8306.31
Belarus,1997,20333,618,8306.31
Belarus,1998,26522,618,8306.31
Belarus,1999,26053,618,8306.31
Belarus,2000,23077,618,8306.31
Belarus,2001,25917,618,8306.31
Belarus,2002,32889,618,8306.31
Belarus,2004,35297,618,8306.31
Belarus,2005,39965,618,8306.31
Belarus,2006,39390,618,8306.31
Belarus,2007,50653,618,8306.31
Belarus,2008,43890,618,8306.31
Belarus,2009,46818,618,8306.31
Belarus,2010,49306,618,8306.31
Belarus,2011,65950,618,8306.31
Belarus,2012,50407,618,9578.67
Belarus,2013,55656,618,9163.51
Belgium,2000,111006,847,9560.49
Belgium,2001,113522,847,8529.07
Belgium,2002,111962,847,9204
Belgium,2004,122246,847,9186
Belgium,2005,116872,847,9776
Belgium,2006,101929,847,8244.02
Belgium,2007,131278,847,6712.05
Belgium,2008,119258,847,6516.47
Belgium,2009,121174,847,5496.04
Belgium,2010,119283,847,4644.53
Belgium,2011,119360,847,5740.44
Belgium,2012,102438,847,6139.3
Belgium,2013,111500,847,5905.6
Botswana,1990,2899,416,17
Botswana,1991,3962,416,19
Botswana,1992,1899,416,17
Botswana,1993,1353,416,17
Botswana,1994,1698,416,17
Botswana,1995,9477,416,17
Botswana,1996,2463,416,17
Botswana,1997,2867,416,17
Botswana,1998,910,416,17
Botswana,1999,1111,416,17
Botswana,2000,1123,416,17
Botswana,2001,1992,416,17
Botswana,2002,2947,416,17
Botswana,2004,1743,416,17
Botswana,2005,2297,416,17
Botswana,2006,2511,416,17
Botswana,2007,1219,416,17
Botswana,2008,1844,416,17
Botswana,2009,2429,416,17
Botswana,2010,1617,416,17
Botswana,2011,3473,416,17
Botswana,2012,1370,416,17
Botswana,2013,849,416,17
Brazil,1990,18735,1761,49695
Brazil,1990,18735,1761,49695
Brazil,1990,18735,1761,49695
Brazil,1990,18735,1761,49695
Brazil,1990,18735,1761,49695
Brazil,1990,18735,1761,49695
Brazil,1990,18735,1761,49695
Brazil,1990,18735,1761,49695
Brazil,1990,18735,1761,49695
Brazil,1990,18735,1761,49695
Brazil,1990,18735,1761,49695
Brazil,1991,18084,1761,58349.44
Brazil,1991,18084,1761,58349.44
Brazil,1991,18084,1761,58349.44
Brazil,1991,18084,1761,58349.44
Brazil,1991,18084,1761,58349.44
Brazil,1991,18084,1761,58349.44
Brazil,1991,18084,1761,58349.44
Brazil,1991,18084,1761,58349.44
Brazil,1991,18084,1761,58349.44
Brazil,1991,18084,1761,58349.44
Brazil,1991,18084,1761,58349.44
Brazil,1992,22828,1761,67003.89
Brazil,1992,22828,1761,67003.89
Brazil,1992,22828,1761,67003.89
Brazil,1992,22828,1761,67003.89
Brazil,1992,22828,1761,67003.89
Brazil,1992,22828,1761,67003.89
Brazil,1992,22828,1761,67003.89
Brazil,1992,22828,1761,67003.89
Brazil,1992,22828,1761,67003.89
Brazil,1992,22828,1761,67003.89
Brazil,1992,22828,1761,67003.89
Brazil,1993,25321,1761,75658.33
Brazil,1993,25321,1761,75658.33
Brazil,1993,25321,1761,75658.33
Brazil,1993,25321,1761,75658.33
Brazil,1993,25321,1761,75658.33
Brazil,1993,25321,1761,75658.33
Brazil,1993,25321,1761,75658.33
Brazil,1993,25321,1761,75658.33
Brazil,1993,25321,1761,75658.33
Brazil,1993,25321,1761,75658.33
Brazil,1993,25321,1761,75658.33
Brazil,1994,23629,1761,84312.78
Brazil,1994,23629,1761,84312.78
Brazil,1994,23629,1761,84312.78
Brazil,1994,23629,1761,84312.78
Brazil,1994,23629,1761,84312.78
Brazil,1994,23629,1761,84312.78
Brazil,1994,23629,1761,84312.78
Brazil,1994,23629,1761,84312.78
Brazil,1994,23629,1761,84312.78
Brazil,1994,23629,1761,84312.78
Brazil,1994,23629,1761,84312.78
Brazil,1995,26005,1761,92967.22
Brazil,1995,26005,1761,92967.22
Brazil,1995,26005,1761,92967.22
Brazil,1995,26005,1761,92967.22
Brazil,1995,26005,1761,92967.22
Brazil,1995,26005,1761,92967.22
Brazil,1995,26005,1761,92967.22
Brazil,1995,26005,1761,92967.22
Brazil,1995,26005,1761,92967.22
Brazil,1995,26005,1761,92967.22
Brazil,1995,26005,1761,92967.22
Brazil,1996,24761,1761,101621.67
Brazil,1996,24761,1761,101621.67
Brazil,1996,24761,1761,101621.67
Brazil,1996,24761,1761,101621.67
Brazil,1996,24761,1761,101621.67
Brazil,1996,24761,1761,101621.67
Brazil,1996,24761,1761,101621.67
Brazil,1996,24761,1761,101621.67
Brazil,1996,24761,1761,101621.67
Brazil,1996,24761,1761,101621.67
Brazil,1996,24761,1761,101621.67
Brazil,1997,26228,1761,110276.11
Brazil,1997,26228,1761,110276.11
Brazil,1997,26228,1761,110276.11
Brazil,1997,26228,1761,110276.11
Brazil,1997,26228,1761,110276.11
Brazil,1997,26228,1761,110276.11
Brazil,1997,26228,1761,110276.11
Brazil,1997,26228,1761,110276.11
Brazil,1997,26228,1761,110276.11
Brazil,1997,26228,1761,110276.11
Brazil,1997,26228,1761,110276.11
Brazil,1998,27964,1761,118930.56
Brazil,1998,27964,1761,118930.56
Brazil,1998,27964,1761,118930.56
Brazil,1998,27964,1761,118930.56
Brazil,1998,27964,1761,118930.56
Brazil,1998,27964,1761,118930.56
Brazil,1998,27964,1761,118930.56
Brazil,1998,27964,1761,118930.56
Brazil,1998,27964,1761,118930.56
Brazil,1998,27964,1761,118930.56
Brazil,1998,27964,1761,118930.56
Brazil,1999,27765,1761,127585
Brazil,1999,27765,1761,127585
Brazil,1999,27765,1761,127585
Brazil,1999,27765,1761,127585
Brazil,1999,27765,1761,127585
Brazil,1999,27765,1761,127585
Brazil,1999,27765,1761,127585
Brazil,1999,27765,1761,127585
Brazil,1999,27765,1761,127585
Brazil,1999,27765,1761,127585
Brazil,1999,27765,1761,127585
Brazil,2000,27182,1761,140423
Brazil,2000,27182,1761,140423
Brazil,2000,27182,1761,140423
Brazil,2000,27182,1761,140423
Brazil,2000,27182,1761,140423
Brazil,2000,27182,1761,140423
Brazil,2000,27182,1761,140423
Brazil,2000,27182,1761,140423
Brazil,2000,27182,1761,140423
Brazil,2000,27182,1761,140423
Brazil,2000,27182,1761,140423
Brazil,2001,34019,1761,151523
Brazil,2001,34019,1761,151523
Brazil,2001,34019,1761,151523
Brazil,2001,34019,1761,151523
Brazil,2001,34019,1761,151523
Brazil,2001,34019,1761,151523
Brazil,2001,34019,1761,151523
Brazil,2001,34019,1761,151523
Brazil,2001,34019,1761,151523
Brazil,2001,34019,1761,151523
Brazil,2001,34019,1761,151523
Brazil,2002,30559,1761,145552
Brazil,2002,30559,1761,145552
Brazil,2002,30559,1761,145552
Brazil,2002,30559,1761,145552
Brazil,2002,30559,1761,145552
Brazil,2002,30559,1761,145552
Brazil,2002,30559,1761,145552
Brazil,2002,30559,1761,145552
Brazil,2002,30559,1761,145552
Brazil,2002,30559,1761,145552
Brazil,2002,30559,1761,145552
Brazil,2004,33671,1761,214725
Brazil,2004,33671,1761,214725
Brazil,2004,33671,1761,214725
Brazil,2004,33671,1761,214725
Brazil,2004,33671,1761,214725
Brazil,2004,33671,1761,214725
Brazil,2004,33671,1761,214725
Brazil,2004,33671,1761,214725
Brazil,2004,33671,1761,214725
Brazil,2004,33671,1761,214725
Brazil,2004,33671,1761,214725
Brazil,2005,30403,1761,232232
Brazil,2005,30403,1761,232232
Brazil,2005,30403,1761,232232
Brazil,2005,30403,1761,232232
Brazil,2005,30403,1761,232232
Brazil,2005,30403,1761,232232
Brazil,2005,30403,1761,232232
Brazil,2005,30403,1761,232232
Brazil,2005,30403,1761,232232
Brazil,2005,30403,1761,232232
Brazil,2005,30403,1761,232232
Brazil,2006,33823,1761,238716
